,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dpi 2,2639.33333333333,,642,1569.33333333333,1355.33333333333,,1498,570.666666666667,,428,,,,998.666666666667,1284,499.333333333333,428,2140,,,713.333333333333,4280,1498,1070,,,2853.33333333333,6348.66666666667,998.666666666667,,1212.66666666667,,1997.33333333333,3638,,356.666666666667,3281.33333333333,,4351.33333333333,,,1426.66666666667,1284,,998.666666666667,1141.33333333333,1141.33333333333,2853.33333333333,2211.33333333333,,,1783.33333333333,,1070,642,570.666666666667,,214,,214
dpi 3,,,2140,1426.66666666667,927.333333333333,3210,499.333333333333,,1141.33333333333,214,,,,,214,642,,,,713.333333333333,428,,570.666666666667,3067.33333333333,1498,856,428,,998.666666666667,1640.66666666667,,,1355.33333333333,713.333333333333,927.333333333333,856,,,2425.33333333333,,1212.66666666667,,,1712,713.333333333333,,285.333333333333,,570.666666666667,1426.66666666667,499.333333333333,,,998.666666666667,,428,,,356.666666666667,
dpi 4,,642,1997.33333333333,2639.33333333333,3138.66666666667,29246.6666666667,2853.33333333333,1569.33333333333,6420,1070,,784.666666666667,,428,1712,3067.33333333333,2924.66666666667,1212.66666666667,499.333333333333,3424,2211.33333333333,1070,4565.33333333333,4494,5207.33333333333,2211.33333333333,784.666666666667,1212.66666666667,1712,1569.33333333333,713.333333333333,,4993.33333333333,,,4208.66666666667,1284,3424,2710.66666666667,1997.33333333333,1426.66666666667,784.666666666667,570.666666666667,1498,1997.33333333333,,,1070,,1926,1070,,1212.66666666667,,,1212.66666666667,998.666666666667,927.333333333333,,
dpi 5,3923.33333333333,5064.66666666667,5706.66666666667,4137.33333333333,4850.66666666667,62773.3333333333,5706.66666666667,10272,19973.3333333333,5492.66666666667,2068.66666666667,4208.66666666667,856,1854.66666666667,4494,13838.6666666667,9130.66666666667,2710.66666666667,4208.66666666667,5421.33333333333,4208.66666666667,5635.33333333333,9487.33333333333,8916.66666666667,13553.3333333333,2354,1926,2568,2211.33333333333,4636.66666666667,2068.66666666667,2282.66666666667,5421.33333333333,1926,1640.66666666667,4779.33333333333,2282.66666666667,11841.3333333333,3638,7490,2354,2425.33333333333,2710.66666666667,3709.33333333333,3780.66666666667,,3638,2211.33333333333,6277.33333333333,2425.33333333333,1426.66666666667,1783.33333333333,2211.33333333333,1997.33333333333,1569.33333333333,1640.66666666667,,1426.66666666667,1426.66666666667,1070
