,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,5421.33333333333,2425.33333333333,5136,5564,7062,6562.66666666667,11413.3333333333,7418.66666666667,7918,9344.66666666667,4137.33333333333,3495.33333333333,6705.33333333333,2710.66666666667,7347.33333333333,3352.66666666667,5492.66666666667,5278.66666666667,2782,19260,8203.33333333333,6134.66666666667,13553.3333333333,14266.6666666667,22826.6666666667,5635.33333333333,2710.66666666667,5136,8774,9630,4137.33333333333,1498,3138.66666666667,3638,4922,4280,4137.33333333333,11342,4993.33333333333,3138.66666666667,23540,7347.33333333333,5564,12840,6990.66666666667,3138.66666666667,3495.33333333333,4993.33333333333,3138.66666666667,6990.66666666667,5421.33333333333,4779.33333333333,4565.33333333333,5849.33333333333,5992,7632.66666666667,7347.33333333333,8346,4351.33333333333,4494
dpi 2,38520,22113.3333333333,19260,60633.3333333333,62773.3333333333,37806.6666666667,99153.3333333333,44940,61346.6666666667,71333.3333333333,26393.3333333333,33526.6666666667,27106.6666666667,33526.6666666667,73473.3333333333,28533.3333333333,13553.3333333333,64200,14980,64200,111280,32100,121266.666666667,135533.333333333,128400,52073.3333333333,10700,58493.3333333333,16406.6666666667,26393.3333333333,25680,11413.3333333333,21400,17120,22113.3333333333,25680,11413.3333333333,80606.6666666667,12840,22826.6666666667,37806.6666666667,26393.3333333333,21400,29246.6666666667,32813.3333333333,18546.6666666667,20686.6666666667,19260,24966.6666666667,24253.3333333333,15693.3333333333,12126.6666666667,25680,32100,32813.3333333333,43513.3333333333,32100,24253.3333333333,57780,21400
dpi 3,59920,42086.6666666667,107000,77753.3333333333,50646.6666666667,142666.666666667,214000,192600,142666.666666667,192600,107000,171200,128400,135533.333333333,199733.333333333,156933.333333333,37806.6666666667,271066.666666667,241106.666666667,174766.666666667,263933.333333333,146946.666666667,435133.333333333,142666.666666667,349533.333333333,42800,49933.3333333333,167633.333333333,47793.3333333333,48506.6666666667,29960,25680,43513.3333333333,99153.3333333333,,100580,27820,221133.333333333,25680,,67766.6666666667,124833.333333333,27106.6666666667,19260,,34240,37093.3333333333,48506.6666666667,72046.6666666667,14980,27820,27820,37093.3333333333,39233.3333333333,52073.3333333333,32100,50646.6666666667,42800,94160,19260
dpi 4,37806.6666666667,57066.6666666667,23540,41373.3333333333,62773.3333333333,84173.3333333333,164066.666666667,132680,164780,102720,41373.3333333333,69193.3333333333,43513.3333333333,164066.666666667,117700,96300,37806.6666666667,89166.6666666667,50646.6666666667,118413.333333333,99866.6666666667,135533.333333333,292466.666666667,88453.3333333333,203300,58493.3333333333,44940,47080,14980,27106.6666666667,31386.6666666667,17833.3333333333,66340,50646.6666666667,32813.3333333333,57066.6666666667,26393.3333333333,32813.3333333333,19973.3333333333,52073.3333333333,68480,14980,41373.3333333333,,100580,12126.6666666667,39233.3333333333,15693.3333333333,43513.3333333333,,14266.6666666667,17833.3333333333,27820,17120,57780,14980,34240,19260,199733.333333333,13553.3333333333
dpi 5,45653.3333333333,23540,10700,22113.3333333333,27106.6666666667,32100,81320,32100,35666.6666666667,32813.3333333333,20686.6666666667,27820,10700,47080,35666.6666666667,115560,23540,42800,24253.3333333333,34953.3333333333,46366.6666666667,90593.3333333333,72760,23540,105573.333333333,28533.3333333333,29246.6666666667,43513.3333333333,96300,17833.3333333333,32100,14980,25680,36380,17833.3333333333,46366.6666666667,18546.6666666667,24966.6666666667,21400,24253.3333333333,44940,8560,36380,4565.33333333333,80606.6666666667,7632.66666666667,36380,19973.3333333333,40660,2853.33333333333,24253.3333333333,27106.6666666667,12126.6666666667,25680,34240,14266.6666666667,36380,20686.6666666667,185466.666666667,5706.66666666667
