,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
1,1070,642,1426.66666666667,749,856,856,2068.66666666667,2924.66666666667,784.666666666667,2282.66666666667,642,642,1355.33333333333,749,2425.33333333333,642,1569.33333333333,642,856,1569.33333333333,713.333333333333,1355.33333333333,2033,642,1498,1284,856,1177,428,1141.33333333333,784.666666666667,321,642,1070,499.333333333333,1854.66666666667,998.666666666667,856,428,927.333333333333,1141.33333333333,784.666666666667,1141.33333333333,998.666666666667,1212.66666666667,856,499.333333333333,713.333333333333,499.333333333333,1783.33333333333,428,856,1141.33333333333,1141.33333333333,856,642,214,642,642,1284
2,14266.6666666667,4993.33333333333,19260,14266.6666666667,10700,15693.3333333333,29246.6666666667,44940,18546.6666666667,24253.3333333333,15693.3333333333,12840,22113.3333333333,15693.3333333333,25680,12840,22826.6666666667,19260,18546.6666666667,37093.3333333333,24966.6666666667,12126.6666666667,29960,27820,34953.3333333333,21400,11413.3333333333,7846.66666666667,17833.3333333333,12840,10700,5706.66666666667,4993.33333333333,6420,5350,59920,10700,15693.3333333333,19260,11413.3333333333,32100,19973.3333333333,14980,29960,24966.6666666667,14980,11413.3333333333,10700,12126.6666666667,22826.6666666667,,7989.33333333333,8560,11413.3333333333,8988,,,,9986.66666666667,8560
3,50646.6666666667,21400,47793.3333333333,66340,41373.3333333333,131253.333333333,129113.333333333,278200,178333.333333333,66340,128400,96300,214000,66340,96300,32813.3333333333,81320,119126.666666667,82033.3333333333,128400,53500,107000,228266.666666667,263933.333333333,256800,41373.3333333333,49220,34240,37806.6666666667,41373.3333333333,34240,33526.6666666667,24253.3333333333,22826.6666666667,16406.6666666667,128400,60633.3333333333,55640,156933.333333333,32813.3333333333,117700,50290,40660,35310,46366.6666666667,36380,24966.6666666667,28533.3333333333,33526.6666666667,54926.6666666667,,24253.3333333333,52073.3333333333,52786.6666666667,32100,,,6420,25680,39946.6666666667
4,54213.3333333333,29246.6666666667,75613.3333333333,34953.3333333333,105573.333333333,149800,206866.666666667,185466.666666667,178333.333333333,206866.666666667,164066.666666667,156933.333333333,121266.666666667,104146.666666667,149800,72760,82033.3333333333,128400,85600,156933.333333333,214000,149800,249666.666666667,271066.666666667,192600,49220,86313.3333333333,35666.6666666667,38520,40660,72046.6666666667,32100,32100,,24253.3333333333,192600,213286.666666667,74186.6666666667,149800,38520,90593.3333333333,67053.3333333333,53500,67766.6666666667,45653.3333333333,45653.3333333333,48506.6666666667,84886.6666666667,34953.3333333333,76326.6666666667,,30673.3333333333,51360,50646.6666666667,34953.3333333333,,,,24253.3333333333,58493.3333333333
5,3780.66666666667,3709.33333333333,4351.33333333333,3994.66666666667,2996,12126.6666666667,10414.6666666667,5920.66666666667,9273.33333333333,9986.66666666667,5992,8417.33333333333,5278.66666666667,3994.66666666667,7276,5849.33333333333,8346,10129.3333333333,3638,7133.33333333333,17120,21400,24110.6666666667,24966.6666666667,13553.3333333333,4993.33333333333,4066,3281.33333333333,2496.66666666667,2996,3424,2853.33333333333,2568,3210,1284,11413.3333333333,4280,,5778,4280,4066,2496.66666666667,1284,8417.33333333333,4208.66666666667,3994.66666666667,3709.33333333333,4137.33333333333,3424,4636.66666666667,,2924.66666666667,4494,3067.33333333333,3138.66666666667,,,,2996,3923.33333333333
