,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,78466.6666666667,29246.6666666667,73473.3333333333,82033.3333333333,92733.3333333333,64200,121266.666666667,54213.3333333333,114133.333333333,121980,42800,42086.6666666667,74186.6666666667,32813.3333333333,74900,34953.3333333333,61346.6666666667,42800,32813.3333333333,206866.666666667,63486.6666666667,52073.3333333333,221133.333333333,178333.333333333,92733.3333333333,84886.6666666667,33526.6666666667,65626.6666666667,74186.6666666667,84886.6666666667,73473.3333333333,27820,32100,36380,59206.6666666667,25680,23540,39233.3333333333,38520,18546.6666666667,128400,29246.6666666667,27820,61346.6666666667,62060,57066.6666666667,62060,35666.6666666667,30673.3333333333,62060,192600,43513.3333333333,24966.6666666667,59920,12126.6666666667,30673.3333333333,32100,35666.6666666667,23540,64200
dpi 2,121980,51360,171200,38520,156933.333333333,221133.333333333,228266.666666667,263933.333333333,199733.333333333,499333.333333333,156933.333333333,136960,142666.666666667,171200,171200,142666.666666667,156933.333333333,171200,149800,263933.333333333,214000,156933.333333333,278200,256800,513600,171200,43513.3333333333,142666.666666667,149800,171200,85600,60633.3333333333,74900,32813.3333333333,111993.333333333,96300,41373.3333333333,199733.333333333,51360,95586.6666666667,206866.666666667,93446.6666666667,81320,122693.333333333,164066.666666667,41373.3333333333,79180,62060,67766.6666666667,114133.333333333,135533.333333333,28533.3333333333,37806.6666666667,67053.3333333333,27106.6666666667,56353.3333333333,36380,43513.3333333333,30673.3333333333,20686.6666666667
dpi 3,292466.666666667,185466.666666667,313866.666666667,221133.333333333,235400,470800,492200,413733.333333333,527866.666666667,385200,328133.333333333,285333.333333333,492200,313866.666666667,413733.333333333,335266.666666667,214000,285333.333333333,228266.666666667,577800,1469466.66666667,599200,1241200,292466.666666667,1562200,142666.666666667,64200,114133.333333333,66340,374500,285333.333333333,111280,135533.333333333,104146.666666667,181900,156933.333333333,171200,185466.666666667,171200,267500,221133.333333333,171200,126260,157646.666666667,288900,156933.333333333,206866.666666667,199733.333333333,69193.3333333333,214000,342400,66340,85600,142666.666666667,52073.3333333333,129826.666666667,62773.3333333333,92020,38520,135533.333333333
dpi 4,228266.666666667,206866.666666667,228266.666666667,984400,206866.666666667,1640666.66666667,1284000,627733.333333333,1141333.33333333,1009366.66666667,927333.333333333,385200,1997333.33333333,1041466.66666667,1112800,306733.333333333,442266.666666667,699066.666666667,271066.666666667,1854666.66666667,1997333.33333333,1854666.66666667,2068666.66666667,1426666.66666667,1926000,870266.666666667,214000,927333.333333333,292466.666666667,834600,292466.666666667,135533.333333333,563533.333333333,228266.666666667,563533.333333333,192600,199733.333333333,263933.333333333,199733.333333333,535000,649133.333333333,278200,321000,877400,556400,199733.333333333,221133.333333333,235400,192600,235400,998666.666666667,263933.333333333,171200,171200,102006.666666667,185466.666666667,206866.666666667,256800,149800,142666.666666667
dpi 5,128400,69906.6666666667,87740,101293.333333333,81320,306733.333333333,140526.666666667,185466.666666667,128400,206866.666666667,171200,114133.333333333,128400,128400,142666.666666667,206866.666666667,63486.6666666667,98440,77040,267500,263933.333333333,140526.666666667,183326.666666667,156933.333333333,299600,214000,37093.3333333333,96300,42800,160500,121266.666666667,52786.6666666667,68480,58493.3333333333,46010,42086.6666666667,34953.3333333333,47080,81320,66340,164066.666666667,56353.3333333333,70620,118413.333333333,83460,63486.6666666667,69906.6666666667,65626.6666666667,42086.6666666667,60633.3333333333,58493.3333333333,37806.6666666667,37093.3333333333,35666.6666666667,28533.3333333333,34240,35666.6666666667,38520,109140,34240
