,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,6776.66666666667,2496.66666666667,9273.33333333333,5778,3780.66666666667,2996,12840,7418.66666666667,6134.66666666667,7775.33333333333,2639.33333333333,3709.33333333333,7561.33333333333,3210,6420,5421.33333333333,12126.6666666667,4993.33333333333,3852,19260,2639.33333333333,1712,9273.33333333333,12340.6666666667,8560,9915.33333333333,7418.66666666667,3067.33333333333,16478,8132,6848,3352.66666666667,2710.66666666667,4922,2568,3138.66666666667,2639.33333333333,2924.66666666667,6206,1426.66666666667,19260,3709.33333333333,2282.66666666667,14908.6666666667,7811,4708,2140,7989.33333333333,3566.66666666667,12626,4708,1712,1284,4636.66666666667,1569.33333333333,,,,2425.33333333333,3067.33333333333
dpi 2,74186.6666666667,48506.6666666667,115560,114133.333333333,94873.3333333333,142666.666666667,271066.666666667,135533.333333333,192600,156933.333333333,78466.6666666667,128400,142666.666666667,121266.666666667,235400,156933.333333333,235400,149800,214000,449400,164066.666666667,156933.333333333,171200,891666.666666667,335266.666666667,185466.666666667,164066.666666667,142666.666666667,256800,206866.666666667,114133.333333333,27820,37093.3333333333,135533.333333333,83460,99866.6666666667,121266.666666667,121266.666666667,171200,37093.3333333333,249666.666666667,171200,121266.666666667,313866.666666667,214000,156933.333333333,135533.333333333,156933.333333333,92733.3333333333,199733.333333333,78466.6666666667,34240,40660,79180,12126.6666666667,,,,,23540
dpi 3,485450,249375,532000,229425,601825,997500,1130500,798000,864500,498750,442225,532000,964250,,764750,897750,1163750,565250,947625,864500,964250,458850,1197000,2094750,1130500,498750,448875,392350,395675,498750,206150,206150,166250,156275,259350,428925,242725,498750,532000,349125,665000,465500,,,266000,275975,365750,279300,359100,864500,206150,73150,109725,86450,172900,,,,83125,86450
dpi 4,565250,359100,349125,418950,262675,1064000,1064000,698250,1429750,831250,698250,598500,997500,798000,964250,1463000,1064000,931000,1197000,1097250,1230250,1496250,3391500,3491250,1529500,545300,485450,798000,295925,432250,345800,382375,226100,202825,375725,365750,432250,831250,518700,665000,598500,631750,798000,665000,,482125,698250,798000,931000,854525,103075,113050,156275,186200,69825,,,,96425,99750
