,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,927.333333333333,570.666666666667,1783.33333333333,1498,,1141.33333333333,1569.33333333333,,1854.66666666667,,1070,,856,570.666666666667,,,713.333333333333,1070,1212.66666666667,,2496.66666666667,1355.33333333333,1498,1498,,1426.66666666667,1141.33333333333,1141.33333333333,2710.66666666667,,1426.66666666667,,1355.33333333333,784.666666666667,,3210,713.333333333333,2282.66666666667,1498,,2782,3709.33333333333,3852,2782,,,570.666666666667,1426.66666666667,856,,1640.66666666667,499.333333333333,998.666666666667,2924.66666666667,,,,,1498,
dpi 2,77040,7846.66666666667,54213.3333333333,39233.3333333333,43513.3333333333,117700,57066.6666666667,39946.6666666667,82746.6666666667,135533.333333333,18546.6666666667,50646.6666666667,54213.3333333333,37093.3333333333,,67053.3333333333,121266.666666667,30673.3333333333,47080,285333.333333333,149800,27820,88453.3333333333,84173.3333333333,17833.3333333333,92733.3333333333,58493.3333333333,24253.3333333333,213286.666666667,141953.333333333,32100,6420,27820,14980,62773.3333333333,192600,21400,149800,,39233.3333333333,214000,513600,271066.666666667,256800,656266.666666667,22113.3333333333,17833.3333333333,107000,19260,185466.666666667,102006.666666667,39233.3333333333,62773.3333333333,99153.3333333333,49933.3333333333,,,,116273.333333333,107000
dpi 3,1163750,169575,1197000,897750,598500,1363250,1562750,498750,1130500,1197000,,,,,1862000,798000,964250,532000,498750,4123000,1463000,1064000,565250,1130500,432250,864500,415625,631750,1562750,498750,698250,209475,332500,415625,478800,2726500,295925,1429750,931000,246050,,,,,8478750,565250,305900,764750,498750,1296750,6650000,731500,1429750,2327500,339150,,,,2926000,665000
dpi 4,8312500,5320000,6650000,7281750,6849500,8977500,5320000,9310000,1.2635E+07,8977500,8312500,8977500,1.064E+07,7647500,3158750,1.463E+07,6151250,7315000,5918500,,1.29675E+07,9975000,7315000,5652500,,1.064E+07,6982500,7813750,6084750,,8645000,1729000,3857000,2427250,,1.36325E+07,7315000,1.36325E+07,8312500,,8312500,6317500,8312500,1.03075E+07,,9642500,5985000,5985000,8645000,4821250,1.9285E+07,1.729E+07,2.02825E+07,1.9285E+07,6018250,,,,1.62925E+07,1.03075E+07
dpi 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
