,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,32813.3333333333,12840,40660,22826.6666666667,27820,27820,42800,25680,35666.6666666667,29246.6666666667,12840,28533.3333333333,29960,11413.3333333333,45653.3333333333,22826.6666666667,28533.3333333333,17120,22826.6666666667,46366.6666666667,49220,21400,30673.3333333333,69193.3333333333,40660,23540,18546.6666666667,12126.6666666667,25680,37806.6666666667,31386.6666666667,14266.6666666667,6277.33333333333,16406.6666666667,16406.6666666667,37806.6666666667,12055.3333333333,30673.3333333333,22113.3333333333,14980,43513.3333333333,64200,22826.6666666667,32813.3333333333,22113.3333333333,34240,18546.6666666667,33526.6666666667,20686.6666666667,36380,40660,,10700,27820,13553.3333333333,,,,8060.66666666667,11413.3333333333
dpi 2,563533.333333333,114133.333333333,271066.666666667,192600,214000,385200,349533.333333333,156933.333333333,513600,321000,328133.333333333,156933.333333333,171200,99866.6666666667,,271066.666666667,228266.666666667,78466.6666666667,171200,1062866.66666667,884533.333333333,542133.333333333,542133.333333333,442266.666666667,642000,542133.333333333,313866.666666667,214000,442266.666666667,306733.333333333,392333.333333333,71333.3333333333,178333.333333333,392333.333333333,192600,470800,192600,399466.666666667,463666.666666667,171200,1355333.33333333,642000,670533.333333333,856000,392333.333333333,235400,370933.333333333,142666.666666667,178333.333333333,392333.333333333,870266.666666667,242533.333333333,349533.333333333,392333.333333333,214000,784.666666666667,2568,,313866.666666667,235400
dpi 3,1396500,532000,1230250,1429750,1330000,1695750,1197000,1230250,1163750,1496250,1130500,1130500,1263500,698250,1463000,1795500,1296750,1064000,1130500,1828750,1496250,1463000,1562750,1463000,1995000,1396500,1296750,1363250,1396500,1529500,1396500,598500,964250,897750,997500,2327500,1463000,1230250,1363250,1795500,2261000,1928500,1895250,1795500,1928500,1463000,964250,1363250,1363250,1396500,3358250,1263500,1230250,1762250,1197000,,,,1463000,1130500
dpi 4,4422666.66666667,3994666.66666667,4565333.33333333,4422666.66666667,,5778000,4850666.66666667,3495333.33333333,4850666.66666667,,5778000,4208666.66666667,4850666.66666667,4280000,,5278666.66666667,4779333.33333333,4636666.66666667,3994666.66666667,,5278666.66666667,4208666.66666667,4280000,4351333.33333333,,5136000,4280000,4494000,3852000,,3709333.33333333,3566666.66666667,4779333.33333333,3780666.66666667,,4636666.66666667,4708000,5207333.33333333,5492666.66666667,,5207333.33333333,5492666.66666667,4850666.66666667,4708000,,5136000,4779333.33333333,4922000,5064666.66666667,,5350000,4565333.33333333,4137333.33333333,5136000,,463666.666666667,2568000,,5207333.33333333,
dpi 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
