,Clade A,,,,,Clade B,,,,,Clade C,,,,,Clade D,,,,,Clade E,,,,,Clade F,,,,,Clade G,,,,,Clade H,,,,,Clade I,,,,,PA1,,,,,PA2,,,,,PA3,,,,
dpi 1,238.093333333333,285.71,380.953333333333,333.333333333333,190.476666666667,285.713333333333,1047.62,428.573333333333,619.046666666667,619.05,714.286666666667,380.953333333333,761.906666666667,,714.286666666667,904.76,476.19,1047.61666666667,333.333333333333,1095.23666666667,1095.23666666667,1428.57333333333,2000.00333333333,2523.81,2809.52333333333,142.86,238.096666666667,428.573333333333,619.05,285.71,214.285,142.86,357.145,285.71,142.86,380.95,285.71,428.57,571.43,142.86,285.71,142.86,142.86,523.81,238.096666666667,761.906666666667,285.713333333333,476.19,333.33,523.81,428.57,285.71,285.71,333.33,,333.333333333333,357.14,428.573333333333,142.86,285.71
dpi 2,16666.6666666667,6666.66666666667,24000,16000,34000,32000,146666.666666667,206666.666666667,36000,106666.666666667,80000,50666.6666666667,180000,22666.6666666667,93333.3333333333,120000,106666.666666667,166666.666666667,50666.6666666667,220000,193333.333333333,166666.666666667,226666.666666667,273333.333333333,1466666.66666667,13333.3333333333,20666.6666666667,15333.3333333333,41333.3333333333,67333.3333333333,14000,8666.66666666667,7333.33333333333,13333.3333333333,16000,93333.3333333333,18000,19333.3333333333,60000,14666.6666666667,63333.3333333333,17333.3333333333,12666.6666666667,76666.6666666667,36666.6666666667,78666.6666666667,36000,65333.3333333333,34000,186666.666666667,50666.6666666667,9333.33333333333,18000,40000,,48000,18000,16666.6666666667,6666.66666666667,48000
dpi 3,340000,86666.6666666667,666666.666666667,306666.666666667,933333.333333333,933333.333333333,2400000,3000000,1600000,2866666.66666667,2200000,2400000,5933333.33333333,1466666.66666667,4600000,1666666.66666667,1933333.33333333,6666666.66666667,1533333.33333333,9000000,8666666.66666667,1.33333333333333E+07,8533333.33333333,9000000,2.2E+07,286666.666666667,733333.333333333,706666.666666667,1600000,2133333.33333333,153333.333333333,86666.6666666667,233333.333333333,160000,466666.666666667,1866666.66666667,400000,666666.666666667,1600000,186666.666666667,933333.333333333,420000,253333.333333333,1266666.66666667,1400000,733333.333333333,800000,1600000,800000,3066666.66666667,546666.666666667,260000,666666.666666667,806666.666666667,,433333.333333333,1000000,1066666.66666667,160000,1000000
dpi 4,2.3E+07,3.8E+07,2E+07,3.7E+07,2.8E+07,2.5E+07,3.13333333333333E+07,3.5E+07,8666666.66666667,2.73333333333333E+07,1.46666666666667E+07,3.73333333333333E+07,2.4E+07,3.6E+07,2.33333333333333E+07,3.06666666666667E+07,2.7E+07,2.1E+07,2.26666666666667E+07,2.4E+07,1.93333333333333E+07,1.93333333333333E+07,9333333.33333333,2.13333333333333E+07,1.33333333333333E+07,6666666.66666667,6666666.66666667,9333333.33333333,1.73333333333333E+07,1.7E+07,1.26666666666667E+07,1.53333333333333E+07,2.6E+07,3.1E+07,4.3E+07,2.7E+07,2.9E+07,3.2E+07,2.8E+07,3.5E+07,3.3E+07,1.66666666666667E+07,3E+07,2.2E+07,2.3E+07,2.2E+07,2.6E+07,2.7E+07,3.6E+07,2.53333333333333E+07,2.53333333333333E+07,3.33333333333333E+07,2.3E+07,2.5E+07,,3.06666666666667E+07,2.53333333333333E+07,1.93333333333333E+07,1.8E+07,2.86666666666667E+07
