Day post infection,Clade,FDR corrected,      Rpe ,       Npc ,      Hvmf,        HDF,       Vero  ,     Mrc5  ,     Huh7 ,      A549
3,PA2   ,1,0.668434,0.0338998,0.152671,1,0.463344,0.100963,0.543161,0.916563
3,PA3   ,1,0.0223872,0.0223872,0.152671,1,0.30452,0.929642,0.220377,0.347207
4,Clade B,0,0.008784,0.010176,0.010176,0.29627,0.676103,0.0119252,0.114961,0.403395
4,Clade C,0,0.008784,0.086677,0.010176,0.0601028,0.834532,0.0121858,0.249153,0.29627
4,Clade D,0,0.008784,0.010176,0.198829,0.676103,0.530869,0.0121858,0.530869,0.916563
4,Clade E,0,0.008784,0.010176,0.010176,0.143672,0.0211767,0.0121858,0.143672,0.0593271
4,Clade F,0,0.008784,0.391668,0.010176,0.676103,0.0119252,0.29627,0.29627,0.249153
4,Clade G,0,0.00856192,0.520583,0.520583,0.247706,0.676103,0.29627,0.676103,0.752567
4,Clade H,0,0.662311,0.391668,0.284284,0.249153,0.916563,0.0946929,0.0273285,0.753298
4,Clade I,0,0.008784,0.0184908,1,0.345742,0.463344,0.0121858,0.138792,0.0215717
4,PA1   ,0,0.661257,0.133862,0.391668,0.530869,0.676103,0.0215717,1,1
4,PA2   ,0,0.662311,0.133862,0.672336,0.403395,0.916563,0.0121858,0.0936926,0.249153
4,PA3   ,0,0.126379,0.010176,0.0344536,0.345742,0.403395,0.676103,0.0121858,0.0601028
4,Clade B,1,0.0138034,0.027984,0.027984,0.543309,0.916563,0.0223406,0.263399,0.633907
4,Clade C,1,0.0138034,0.158908,0.027984,0.543309,0.916563,0.0223406,0.391526,0.543161
4,Clade D,1,0.0138034,0.027984,0.36452,0.676103,0.916563,0.0223406,0.64884,1
4,Clade E,1,0.0138034,0.027984,0.027984,0.543309,0.116472,0.0223406,0.263399,0.220377
4,Clade F,1,0.0138034,0.430835,0.027984,0.676103,0.116472,0.325897,0.407371,0.543161
4,Clade G,1,0.0138034,0.520583,0.636268,0.543309,0.916563,0.325897,0.743714,0.920698
4,Clade H,1,0.662311,0.430835,0.446732,0.543309,0.916563,0.130203,0.150307,0.920698
4,Clade I,1,0.0138034,0.0406797,1,0.543309,0.916563,0.0223406,0.263399,0.220377
4,PA1   ,1,0.662311,0.18406,0.538543,0.64884,0.916563,0.0338985,1,1
4,PA2   ,1,0.662311,0.18406,0.739569,0.554669,0.916563,0.0223406,0.263399,0.543161
4,PA3   ,1,0.173772,0.027984,0.075798,0.543309,0.916563,0.676103,0.134044,0.220377
5,Clade B,0,0.010176,0.662311,0.010176,0.0367139,0.674236,0.0367139,0.249153,0.403395
5,Clade C,0,0.0218592,0.162587,0.010176,0.0946929,0.142457,0.116074,0.0121858,0.29627
5,Clade D,0,0.0539369,0.198829,0.010176,0.834532,0.916563,0.0215717,1,0.916563
5,Clade E,0,0.010176,0.010176,0.010176,0.530869,0.753298,0.0601028,1,0.0593271
5,Clade F,0,0.0539369,0.520583,0.452099,0.0367139,0.171904,1,0.834532,0.249153
5,Clade G,0,0.198829,0.391668,0.0539369,0.0946929,0.0215717,0.0361451,0.210075,0.752567
5,Clade H,0,0.010176,0.391668,0.0184908,1,0.249153,0.916563,0.676103,0.753298
5,Clade I,0,0.520583,1,0.520583,0.0121858,0.400525,0.530869,0.0121858,0.0215717
5,PA1   ,0,0.010176,0.0184908,0.086677,0.143672,0.834532,1,0.676103,1
5,PA2   ,0,0.010176,0.198829,0.0906884,0.0121858,0.403395,0.0121858,0.29627,0.249153
5,PA3   ,0,0.008784,0.086677,0.0200082,0.0119252,0.249153,0.676103,0.0601028,0.0601028
5,Clade B,1,0.018656,0.728542,0.027984,0.0807705,0.916563,0.100963,0.543161,0.633907
5,Clade C,1,0.0343502,0.36452,0.027984,0.148803,0.548136,0.212802,0.0670218,0.543161
5,Clade D,1,0.0659229,0.36452,0.027984,0.917985,0.916563,0.100963,1,1
5,Clade E,1,0.018656,0.101699,0.027984,0.64884,0.916563,0.132226,1,0.220377
5,Clade F,1,0.0659229,0.636268,0.497309,0.0807705,0.548136,1,1,0.543161
5,Clade G,1,0.218712,0.538543,0.0847581,0.148803,0.237289,0.100963,0.543161,0.920698
5,Clade H,1,0.018656,0.538543,0.0366817,1,0.548136,1,0.929642,0.920698
5,Clade I,1,0.520583,1,0.520583,0.0446812,0.633907,0.834223,0.0670218,0.220377
5,PA1   ,1,0.018656,0.101699,0.110841,0.197549,0.916563,1,0.929642,1
5,PA2   ,1,0.018656,0.36452,0.110841,0.0446812,0.633907,0.100963,0.543161,0.543161
5,PA3   ,1,0.018656,0.317815,0.0366817,0.0446812,0.548136,0.929642,0.220377,0.220377
